benchmark,group,mode,size,selectivity,samples,inner_repeats,warmup,warmup_us,median_us,p95_us,min_us,max_us,total_us,measured_total_us,ops_per_sec,op_unit,commit,compiler,cflags,opt_level,date_utc
intern_distinct_symbols,ingestion,distinct,1,1.000000,1000,31,457974,300000.125000,0.016129,0.020129,0.008065,0.026871,15.928226,493.775000,62781631.309807,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
reintern_existing_symbols,ingestion,reintern,1,1.000000,1000,63,569979,300000.250000,0.013937,0.017937,0.007254,0.185206,14.422571,908.622000,69335763.386755,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
mixed_intern_symbols,ingestion,mixed,1,1.000000,1000,127,521440,300000.042000,0.016417,0.022315,0.003945,0.049205,16.413780,2084.550000,60924420.138639,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
intern_distinct_symbols,ingestion,distinct,8,1.000000,1000,15,315117,300000.917000,0.097200,0.100067,0.088933,0.922200,98.253867,1473.808000,81421732.003084,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
reintern_existing_symbols,ingestion,reintern,8,1.000000,1000,15,279445,300000.583000,0.097267,0.102867,0.088800,0.630600,100.447667,1506.715000,79643462.765022,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
mixed_intern_symbols,ingestion,mixed,8,1.000000,1000,15,286394,300000.458000,0.091667,0.097267,0.077667,0.608400,92.277267,1384.159000,86695242.381836,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
intern_distinct_symbols,ingestion,distinct,16,1.000000,1000,7,156824,300002.084000,0.178714,0.208286,0.160143,0.250000,181.940000,1273.580000,87941079.476751,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
reintern_existing_symbols,ingestion,reintern,16,1.000000,1000,7,139292,300001.084000,0.178714,0.196571,0.160714,0.249857,181.007857,1267.055000,88393952.906543,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
mixed_intern_symbols,ingestion,mixed,16,1.000000,1000,7,151154,300000.333000,0.196286,0.208571,0.167000,2.208429,201.555857,1410.891000,79382461.153980,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
intern_distinct_symbols,ingestion,distinct,32,1.000000,1000,3,98221,300001.417000,0.347333,0.361333,0.319000,4.139333,353.324667,1059.974000,90568259.221453,symbols/sec,8a120be7c8408327512ed88a4fcb83736fe7a6b3,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-21T08:19:50Z
