benchmark,group,mode,size,selectivity,samples,inner_repeats,warmup,warmup_us,median_us,p95_us,min_us,max_us,total_us,measured_total_us,ops_per_sec,op_unit,commit,compiler,cflags,opt_level,date_utc
intern_distinct_symbols,ingestion,distinct,1,1.000000,1000,4,324069,300000.500000,0.042000,0.042000,0.020500,0.084000,40.685500,45.692000,24578781.138243,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,1,1.000000,1000,31,330629,300000.041000,0.030677,0.035065,0.014774,0.044258,29.937290,928.056000,33403156.706061,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,1,1.000000,1000,31,378891,300001.042000,0.034903,0.039032,0.022903,0.047097,34.465097,1068.418000,29014861.224727,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,8,1.000000,1000,7,199529,300000.083000,0.202714,0.220143,0.178286,0.238143,205.229714,1436.608000,38980710.117165,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,8,1.000000,1000,7,202113,300000.750000,0.184214,0.196429,0.160714,0.220429,182.294000,1276.058000,43885152.555762,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,8,1.000000,1000,7,238996,300000.875000,0.208571,0.226000,0.190571,0.238143,211.787143,1482.510000,37773775.556320,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,16,1.000000,1000,3,159118,300000.042000,0.389000,0.416667,0.347333,0.458333,395.197667,1185.593000,40486068.996696,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,16,1.000000,1000,3,131367,300001.084000,0.347000,0.361000,0.319000,0.416667,342.885667,1028.657000,46662784.582227,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,16,1.000000,1000,3,141459,300000.125000,0.388667,0.403000,0.347000,0.930667,384.587667,1153.763000,41602998.189403,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,32,1.000000,1000,3,84181,300001.000000,0.750000,0.777333,0.708000,0.833333,746.805667,2240.417000,42849166.025789,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,32,1.000000,1000,3,70786,300000.167000,0.653000,0.680333,0.625000,0.750333,656.666333,1969.999000,48730989.203548,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,32,1.000000,1000,3,77599,300001.917000,0.722333,0.750000,0.694000,1.708333,730.540667,2191.622000,43803174.087502,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,64,1.000000,1000,1,48266,300002.583000,1.417000,1.500000,1.375000,17.916000,1457.041000,1457.041000,43924639.045847,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,64,1.000000,1000,1,40245,300007.500000,1.333000,1.375000,1.250000,1.375000,1319.780000,1319.780000,48492930.639955,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,64,1.000000,1000,1,44124,300000.584000,1.375000,1.417000,1.292000,1.583000,1378.297000,1378.297000,46434113.982690,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,128,1.000000,1000,1,26552,300006.833000,2.875000,2.917000,2.750000,3.083000,2864.515000,2864.515000,44684702.296898,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,128,1.000000,1000,1,21455,300012.667000,2.667000,2.709000,2.583000,2.834000,2660.580000,2660.580000,48109810.642792,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,128,1.000000,1000,1,23285,300006.084000,2.917000,3.000000,2.833000,4.292000,2930.247000,2930.247000,43682324.391084,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,256,1.000000,1000,1,13481,300020.584000,6.042000,6.625000,5.833000,10.292000,6143.286000,6143.286000,41671509.351835,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,256,1.000000,1000,1,10751,300018.417000,5.584000,5.708000,5.500000,8.416000,5615.168000,5615.168000,45590799.776605,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,256,1.000000,1000,1,11900,300023.625000,5.750000,5.875000,5.625000,8.542000,5774.132000,5774.132000,44335668.114272,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
intern_distinct_symbols,ingestion,distinct,512,1.000000,1000,1,6650,300039.208000,13.292000,13.625000,13.125000,21.584000,13393.866000,13393.866000,38226453.811021,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
reintern_existing_symbols,ingestion,reintern,512,1.000000,1000,1,5121,300044.084000,12.958000,13.208000,12.708000,26.250000,13020.573000,13020.573000,39322386.196061,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
mixed_intern_symbols,ingestion,mixed,512,1.000000,1000,1,5855,300046.416000,13.417000,13.666000,13.208000,21.167000,13494.238000,13494.238000,37942120.184926,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-DMAELYS_DATALOG_PROFILE_LARGE_-O0,-O0,2026-06-28T11:47:24Z
