benchmark,group,mode,size,selectivity,samples,inner_repeats,warmup,warmup_us,median_us,p95_us,min_us,max_us,total_us,measured_total_us,ops_per_sec,op_unit,commit,compiler,cflags,opt_level,date_utc
intern_distinct_symbols,ingestion,distinct,1,1.000000,1000,15,477759,300000.542000,0.016667,0.022267,0.002733,0.036133,16.308733,244.631000,61316840.465845,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
reintern_existing_symbols,ingestion,reintern,1,1.000000,1000,126,440941,300000.042000,0.013905,0.021159,0.001317,0.034397,14.303738,902.074000,69911794.619122,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
mixed_intern_symbols,ingestion,mixed,1,1.000000,1000,63,354587,300000.209000,0.016524,0.018571,0.010540,0.148810,16.595349,1045.507000,60257846.193282,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
intern_distinct_symbols,ingestion,distinct,8,1.000000,1000,15,268597,300001.209000,0.094467,0.111000,0.074933,0.641667,96.510000,1447.650000,82892964.459642,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
reintern_existing_symbols,ingestion,reintern,8,1.000000,1000,15,211812,300000.792000,0.097200,0.108400,0.080533,0.125000,97.016733,1455.251000,82460001.745403,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
mixed_intern_symbols,ingestion,mixed,8,1.000000,1000,15,216309,300000.084000,0.091667,0.100000,0.080400,0.113867,92.254333,1383.815000,86716793.791078,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
intern_distinct_symbols,ingestion,distinct,16,1.000000,1000,7,181610,300000.375000,0.178571,0.196429,0.154714,0.214429,179.863000,1259.041000,88956594.741553,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
reintern_existing_symbols,ingestion,reintern,16,1.000000,1000,7,180253,300000.833000,0.178571,0.190429,0.160571,0.845000,179.600286,1257.202000,89086717.965768,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
mixed_intern_symbols,ingestion,mixed,16,1.000000,1000,7,188163,300000.125000,0.196429,0.202429,0.166571,0.255857,194.876000,1364.132000,82103491.450974,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
intern_distinct_symbols,ingestion,distinct,32,1.000000,1000,3,111336,300002.667000,0.347000,0.375000,0.305000,0.416667,349.573333,1048.720000,91540163.246624,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
reintern_existing_symbols,ingestion,reintern,32,1.000000,1000,3,92045,300002.500000,0.347000,0.361333,0.305333,0.500000,345.005000,1035.015000,92752278.952479,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
mixed_intern_symbols,ingestion,mixed,32,1.000000,1000,3,90700,300002.625000,0.361000,0.375000,0.319333,0.527333,362.291000,1086.873000,88326787.030316,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
intern_distinct_symbols,ingestion,distinct,64,1.000000,1000,3,54993,300000.667000,0.681000,0.708333,0.653000,0.791667,688.709667,2066.129000,92927401.919241,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
reintern_existing_symbols,ingestion,reintern,64,1.000000,1000,3,49425,300005.709000,0.667000,0.681000,0.638667,1.555667,672.876333,2018.629000,95114060.087317,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
mixed_intern_symbols,ingestion,mixed,64,1.000000,1000,1,53170,300001.500000,0.708000,0.709000,0.625000,3.000000,697.168000,697.168000,91799967.870011,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
intern_distinct_symbols,ingestion,distinct,128,1.000000,1000,1,30595,300009.542000,1.375000,1.375000,1.291000,1.584000,1365.379000,1365.379000,93746864.423724,symbols/sec,3be8b71340786098d5befda29fcb6e6cf4f27050,Apple_clang_version_17.0.0__clang-1700.0.13.5_,-Wall_-Wextra_-g_-I._-O2,-O2,2026-06-28T11:46:12Z
